USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
155,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
156,FEMALE,P,,S,1,MARRIED,,,,,,0.00
157,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
158,FEMALE,P,,S,1,MARRIED,,,,,,0.00
159,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
161,FEMALE,P,,N,1,MARRIED,5,,,,,0.00
162,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
163,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
164,FEMALE,C,0117,N,1,SINGLE,1,,7,,5000.00,0.00
165,FEMALE,P,,N,1,SINGLE,3,,,,,0.00
166,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
167,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
168,FEMALE,P,,N,1,MARRIED,0,,,,,0.00
169,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
170,FEMALE,P,0117,N,1,SINGLE,1,,7,,5000.00,0.00
171,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
172,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
173,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
174,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
175,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
176,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
177,FEMALE,P,,N,1,MARRIED,0,,,,,0.00
178,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
179,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
180,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
181,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
182,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
183,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
184,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
185,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
186,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
187,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
188,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
189,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
190,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
191,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
192,FEMALE,P,,S,1,SINGLE,0,,,,,0.00
193,FEMALE,P,,N,1,MARRIED,0,,,,,0.00
194,FEMALE,P,0117,N,1,MARRIED,1,,7,,1500.00,0.00
195,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
196,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
197,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
